classification,priority,theme,reason,required_change,file,line,class,member,kind,symbol,text
KEEP,P0,Infraestructura protegida,"Modelo, DI o DW fuera del alcance de esta fase.",Conservar; integrar DI y persistencia en una fase coordinada.,tesisproject.backend/Program.cs,14,(file),(namespace/import),namespace,tesisproject.backend.Data.Articles,using tesisproject.backend.Data.Articles;
KEEP,P0,Infraestructura protegida,"Modelo, DI o DW fuera del alcance de esta fase.",Conservar; integrar DI y persistencia en una fase coordinada.,tesisproject.backend/Program.cs,79,(file),(namespace/import),type,tesisproject.backend.Data.AppDbContext,var
KEEP,P0,Infraestructura protegida,"Modelo, DI o DW fuera del alcance de esta fase.",Conservar; integrar DI y persistencia en una fase coordinada.,tesisproject.backend/Program.cs,79,(file),(namespace/import),type,tesisproject.backend.Data.AppDbContext,AppDbContext
KEEP,P0,Infraestructura protegida,"Modelo, DI o DW fuera del alcance de esta fase.",Conservar; integrar DI y persistencia en una fase coordinada.,tesisproject.backend/Program.cs,150,StartupExtensions,ConfigureDatabase,type,tesisproject.backend.Data.AppDbContext,AppDbContext
KEEP,P0,Infraestructura protegida,"Modelo, DI o DW fuera del alcance de esta fase.",Conservar; integrar DI y persistencia en una fase coordinada.,tesisproject.backend/Program.cs,163,StartupExtensions,ConfigureDatabase,type,tesisproject.backend.Data.Articles.ArticlesDbContext,ArticlesDbContext
KEEP,P0,Infraestructura protegida,"Modelo, DI o DW fuera del alcance de esta fase.",Conservar; integrar DI y persistencia en una fase coordinada.,tesisproject.backend/Program.cs,172,StartupExtensions,ConfigureIdentity,type,Microsoft.AspNetCore.Identity.IdentityUser<int>,IdentityUser<int>
KEEP,P0,Infraestructura protegida,"Modelo, DI o DW fuera del alcance de esta fase.",Conservar; integrar DI y persistencia en una fase coordinada.,tesisproject.backend/Program.cs,181,StartupExtensions,ConfigureIdentity,type,tesisproject.backend.Data.AppDbContext,AppDbContext
KEEP,P0,Infraestructura protegida,"Modelo, DI o DW fuera del alcance de esta fase.",Conservar; integrar DI y persistencia en una fase coordinada.,tesisproject.backend/Program.cs,182,StartupExtensions,ConfigureIdentity,type,Microsoft.AspNetCore.Identity.IdentityUser<int>,IdentityUser<int>
MANUAL,P2,Otros: agregados y contratos,El tipo forma parte de un agregado o contrato genérico que todavía devuelve entidades legacy.,"Migrar conjuntamente repositorio, interfaz, UoW y navegaciones del agregado. Revisar Project/Group/GroupMember, objetivos, documentos, presupuesto y catálogos; no mezclar instancias EF de ambos modelos.",tesisproject.backend/Controllers/AcademicPeriodsController.cs,8,(file),(namespace/import),namespace,tesisproject.shared.Entities.External,using tesisproject.shared.Entities.External;
MANUAL,P1,AcademicTerms,Debe verificarse/resolverse el período externo contra el catálogo local.,Migrar el agregado y usar AcademicTermId; resolver ExternalPeriodId cuando el origen sea externo.,tesisproject.backend/Controllers/AcademicPeriodsController.cs,31,AcademicPeriodsController,List,type,tesisproject.shared.Responses.ServiceResult<System.Collections.Generic.IReadOnlyList<tesisproject.shared.Entities.External.ExternalAcademicPeriodModel>>,var
