CallerService,CallerMethod,CalledService,CalledMethod,LegacyCallLine,CallerSaveChangesLines,CalleeSaveChangesLinesIncludingHelpers,SameUowContext,ExternalEffects,Classification,Recommendation
AppUserService,EnsureSingleInternalAsync,UserRoleService,AssignRoleAsync,174,224,implícito Identity,Store Identity AppDbContext; fuera de Unified,UserManager.AddToRoleAsync: persistencia implícita del store Identity,EXTERNAL_SIDE_EFFECT,El commit del store no pertenece al owner de Projects; mantener la provisión fuera de Unified.
BudgetService,GetExistingActorUserIdAsync,CurrentUserService,GetRequiredUserId,665,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
DocumentRecognitionService,EnrichResearchersWithExternalDirectoryAsync,ExternalDirectoryClient,GetByEmailsAsync,222,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
DocumentRecognitionService,EnrichResearchersWithExternalDirectoryAsync,ExternalPeriodsClient,GetAllAsync,229,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
DocumentRecognitionService,EnrichResearchersWithExternalDirectoryAsync,ExternalDistributivosService,GetDistributivosByCorreosAsync,240,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
DocumentRecognitionService,ResolveInvestigationTypeAsync,CatalogCrudService,ListAsync,305,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
DocumentRecognitionService,ResolveMemberRolesAsync,MemberRoleTypeService,ListAsync,352,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
DocumentService,GetExistingActorUserIdAsync,CurrentUserService,GetRequiredUserId,400,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
ExportTemplateExcelService,GenerateExcelAsync,ProjectFlatReportService,GetFlatReportAsync,109,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
ExternalResearcherProjectService,GetExistingActorUserIdAsync,CurrentUserService,GetRequiredUserId,292,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
FacultyScopeService,AssignScopeToUserAsync,AppUserService,EnsureAppUserAsync,263,296,224,"Sí, si Scoped legacy; Identity también usa AppDbContext",Identity/roles/provisión,ATOMICITY_RISK,Separar preparación de cambios y commit del orquestador; no llamar CRUD con save desde una operación compuesta.
FacultyScopeService,GetExistingActorUserIdAsync,CurrentUserService,GetRequiredUserId,365,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
GroupService,AddMemberAsync,AppUserService,EnsureAppUserAsync,506,578,224,"Sí, si Scoped legacy; Identity también usa AppDbContext",Identity/roles/provisión,ATOMICITY_RISK,Separar preparación de cambios y commit del orquestador; no llamar CRUD con save desde una operación compuesta.
GroupService,GetAllExternalUsersAsync,ExternalDirectoryClient,GetAllAsync,386,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
GroupService,GetExternalUserByAspNetIdAsync,ExternalDirectoryClient,GetByEmailsAsync,307,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
GroupService,GetExternalUserByEmailAsync,ExternalDirectoryClient,GetByEmailsAsync,349,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
GroupService,GetExternalUsersByGroupAsync,ExternalDirectoryClient,GetByEmailsAsync,237,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
GroupService,GetProjectMembersReportAsync,ExternalDirectoryClient,GetByEmailsAsync,987,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
GroupService,LoadExternalPeriodsAndDistributivosAsync,ExternalPeriodsClient,GetAllAsync,749,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
GroupService,LoadExternalPeriodsAndDistributivosAsync,ExternalDistributivosService,GetDistributivosByCorreosAsync,778,—,—,N/A: remoto,HTTP (lectura; efecto remoto mutante no demostrado),EXTERNAL_SIDE_EFFECT,Lectura HTTP: definir consistencia/retry idempotente; no hay transacción distribuida.
MatrixExcelExportService,GenerateExcelAsync,ProjectFlatReportService,GetFlatReportAsync,40,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
MatrixExcelExportService,GenerateExcelAsync,ResearchCategoryService,GetTreeAsync,62,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
MatrixTemplateExcelExportService,GenerateExcelAsync,ExportTemplateService,GetTemplateAsync,85,—,—,Lectura; sin commit del callee,No,SAFE,Conservar reglas/transformación de lectura. CurrentUser solo lee claims; no requiere repository.
