property,repository,contract,previous_context,final_context,entity,status,reason,file
Projects,ProjectRepository,IProjectRepository,AppDbContext,AppDbContext,Project,BLOCKED,"ProjectService.ImportFromMatrixAsync asigna FacultyId externo y Visit.AcademicPeriodId; el contrato Project conecta grupos, objetivos, presupuesto, documentos y productos.",tesisproject.backend/Repositories/Implementations/ProjectRepository.cs
Groups,GroupRepository,IGroupRepository,AppDbContext,AppDbContext,Group,BLOCKED,GroupRepository.GetByProjectIdAsync consulta Project y devuelve ProjectGroup. GroupService también modifica Project.FacultyId al agregar un coordinador.,tesisproject.backend/Repositories/Implementations/GroupRepository.cs
GroupMembers,GroupMemberRepository,IGroupMemberRepository,AppDbContext,AppDbContext,GroupMember,BLOCKED,Contrato compartido con Group y MemberRoleType. GroupService.AddMemberAsync escribe además Project.FacultyId en la misma operación.,tesisproject.backend/Repositories/Implementations/GroupMemberRepository.cs
Budgets,BudgetRepository,IBudgetRepository,AppDbContext,AppDbContext,Budget / BudgetTransaction,BLOCKED,"Navegaciones Project, Document y BudgetTransaction; migrar los consumidores que trabajan con Project.Budgets requiere el contrato Project bloqueado.",tesisproject.backend/Repositories/Implementations/BudgetRepository.cs
Visits,VisitRepository,IVisitRepository,AppDbContext,AppDbContext,Visit,BLOCKED,Agregado conectado a Project/Product y uso externo de AcademicPeriodId en ProjectService.ImportFromMatrixAsync; no basta renombrar a AcademicTermId.,tesisproject.backend/Repositories/Implementations/VisitRepository.cs
ProjectExtensions,ProjectExtensionRepository,IProjectExtensionRepository,AppDbContext,AppDbContext,ProjectExtension,BLOCKED,Contrato conectado a Project/Document/Visit. Crear extensión construye Visit legacy; no se activa el conjunto mientras Project/Visit estén bloqueados.,tesisproject.backend/Repositories/Implementations/ProjectExtensionRepository.cs
VisitIssues,VisitIssueRepository,IVisitIssueRepository,UnifiedDideDbContext,UnifiedDideDbContext,VisitIssue,UNIFIED,Adaptado en la pasada anterior. Misma instancia Scoped Unified en la prueba; no comparte el contexto de SaveChanges del UoW actual.,tesisproject.backend/Repositories/Implementations/VisitIssueRepository.cs
Convocations,ConvocationRepository,IConvocationRepository,UnifiedDideDbContext,UnifiedDideDbContext,Convocation,UNIFIED,Adaptado en la pasada anterior. Misma instancia Scoped Unified en la prueba; no comparte el contexto de SaveChanges del UoW actual.,tesisproject.backend/Repositories/Implementations/ConvocationRepository.cs
ProductAttributeDefinitions,ProductAttributeDefinitionRepository,IProductAttributeDefinitionRepository,UnifiedDideDbContext,UnifiedDideDbContext,ProductAttributeDefinition,UNIFIED,Adaptado en la pasada anterior. Misma instancia Scoped Unified en la prueba; no comparte el contexto de SaveChanges del UoW actual.,tesisproject.backend/Repositories/Implementations/ProductAttributeDefinitionRepository.cs
ProductValues,ProductValueRepository,IProductValueRepository,AppDbContext,AppDbContext,ProductValue,BLOCKED,ProductRepository carga Values y AttributeDefinition; ProductService usa el mismo contrato Product y sus autores.,tesisproject.backend/Repositories/Implementations/ProductValueRepository.cs
ProductAuthors,ProductAuthorRepository,IProductAuthorRepository,AppDbContext,AppDbContext,ProductAuthor,SPECIAL,ExistsForUserAsync consulta UserId; SyncAuthorsAsync crea vínculos con UserId y MapToDetailDTO los proyecta. Unified requiere AuthorId.,tesisproject.backend/Repositories/Implementations/ProductAuthorRepository.cs
Products,ProductRepository,IProductRepository,AppDbContext,AppDbContext,Product,BLOCKED,GetByIdWithRefsAsync y QueryWithRefs incluyen Authors. MapToDetailDTO usa UserId y asigna ProjectId a un DTO obligatorio.,tesisproject.backend/Repositories/Implementations/ProductRepository.cs
ObjectiveTypes,CatalogRepository<ObjectiveType>,ICatalogRepository<ObjectiveType>,AppDbContext,AppDbContext,ObjectiveType,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ProjectObjectives,ProjectObjectiveRepository,IProjectObjectiveRepository,AppDbContext,AppDbContext,ProjectObjective,BLOCKED,ProjectService construye/asigna Project.ProjectObjectives; los contratos enlazan ObjectiveActivity y VisitObjectiveActivityProgress.,tesisproject.backend/Repositories/Implementations/ProjectObjectiveRepository.cs
ObjectiveActivities,ObjectiveActivityRepository,IObjectiveActivityRepository,AppDbContext,AppDbContext,ObjectiveActivity,BLOCKED,Navega a ProjectObjective; su contrato forma parte de los objetivos del Project legacy.,tesisproject.backend/Repositories/Implementations/ObjectiveActivityRepository.cs
ObjectiveActivityUsers,ObjectiveActivityUserRepository,IObjectiveActivityUserRepository,UnifiedDideDbContext,UnifiedDideDbContext,ObjectiveActivityUser,UNIFIED,Adaptado en la pasada anterior. Misma instancia Scoped Unified en la prueba; no comparte el contexto de SaveChanges del UoW actual.,tesisproject.backend/Repositories/Implementations/ObjectiveActivityUserRepository.cs
Documents,DocumentRepository,IDocumentRepository,AppDbContext,AppDbContext,Document,BLOCKED,"Los consumidores construyen ProjectDocument, Visit, ProjectExtension y BudgetTransaction con Document; el grupo cruza Project/Visit.",tesisproject.backend/Repositories/Implementations/DocumentRepository.cs
MemberRoleTypeRepository,CatalogRepository<MemberRoleType>,ICatalogRepository<MemberRoleType>,AppDbContext,AppDbContext,MemberRoleType,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ProjectTypeRepository,CatalogRepository<ProjectType>,ICatalogRepository<ProjectType>,AppDbContext,AppDbContext,ProjectType,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
DocumentTypes,CatalogRepository<DocumentType>,ICatalogRepository<DocumentType>,AppDbContext,AppDbContext,DocumentType,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ProjectResearchCategories,ProjectResearchCategoryRepository,IProjectResearchCategoryRepository,AppDbContext,AppDbContext,ProjectResearchCategory,BLOCKED,ProjectService construye Project.ProjectResearchCategories; requiere migrar Project y la cadena de catálogos.,tesisproject.backend/Repositories/Implementations/ProjectResearchCategoryRepository.cs
ResearchCategories,ResearchCategoryRepository,IResearchCategoryRepository,AppDbContext,AppDbContext,ResearchCategory,BLOCKED,Usado con ProjectResearchCategory y catálogos tipados legacy en ProjectService; la hoja no elimina el bloqueo del contrato compartido.,tesisproject.backend/Repositories/Implementations/ResearchCategoryRepository.cs
ResearchCategoryTypes,CatalogRepository<ResearchCategoryType>,ICatalogRepository<ResearchCategoryType>,AppDbContext,AppDbContext,ResearchCategoryType,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
FundingTypes,CatalogRepository<FundingType>,ICatalogRepository<FundingType>,AppDbContext,AppDbContext,FundingType,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ResearchCategoryGroups,CatalogRepository<ResearchCategoryGroup>,ICatalogRepository<ResearchCategoryGroup>,AppDbContext,AppDbContext,ResearchCategoryGroup,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
TransactionTypes,CatalogRepository<TransactionType>,ICatalogRepository<TransactionType>,AppDbContext,AppDbContext,TransactionType,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ExternalResearchers,ExternalResearcherRepository,IExternalResearcherRepository,AppDbContext,AppDbContext,ExternalResearcher,BLOCKED,ExternalResearcherProject y Project.ExternalResearcherProjects mantienen contratos legacy; hay que migrar sus consumidores juntos.,tesisproject.backend/Repositories/Implementations/ExternalResearcherRepository.cs
Countries,CatalogRepository<Country>,ICatalogRepository<Country>,AppDbContext,AppDbContext,Country,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
Institutions,CatalogRepository<Institution>,ICatalogRepository<Institution>,AppDbContext,AppDbContext,Institution,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ExternalResearcherProjects,ExternalResearcherProjectRepository,IExternalResearcherProjectRepository,AppDbContext,AppDbContext,ExternalResearcherProject,BLOCKED,ProjectService construye/asigna Project.ExternalResearcherProjects; cambiar solo el repositorio rompe el tipo de navegación.,tesisproject.backend/Repositories/Implementations/ExternalResearcherProjectRepository.cs
IndexingSources,CatalogRepository<IndexingSource>,ICatalogRepository<IndexingSource>,AppDbContext,AppDbContext,IndexingSource,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ProductTypes,CatalogRepository<ProductType>,ICatalogRepository<ProductType>,AppDbContext,AppDbContext,ProductType,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ProductAttributes,CatalogRepository<ProductAttribute>,ICatalogRepository<ProductAttribute>,AppDbContext,AppDbContext,ProductAttribute,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ProjectDocuments,ProjectDocumentRepository,IProjectDocumentRepository,AppDbContext,AppDbContext,ProjectDocument,BLOCKED,ProjectDocumentRepository carga Project y Document; ProjectService conserva Project.ProjectDocuments legacy.,tesisproject.backend/Repositories/Implementations/ProjectDocumentRepository.cs
ProjectStates,CatalogRepository<ProjectState>,ICatalogRepository<ProjectState>,AppDbContext,AppDbContext,ProjectState,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
VisitStates,CatalogRepository<VisitState>,ICatalogRepository<VisitState>,AppDbContext,AppDbContext,VisitState,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ProjectOriginTypes,CatalogRepository<ProjectOriginType>,ICatalogRepository<ProjectOriginType>,AppDbContext,AppDbContext,ProjectOriginType,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ProjectExtensionTypes,CatalogRepository<ProjectExtensionType>,ICatalogRepository<ProjectExtensionType>,AppDbContext,AppDbContext,ProjectExtensionType,BLOCKED,CatalogRepository<T> e ICatalogRepository<T> restringen T a CatalogEntityBase legacy. Sus consumidores/UoW comparten esos contratos con agregados Project/Product/Group; no basta cambiar el contexto del genérico abierto.,tesisproject.backend/Repositories/Implementations/CatalogRepository.cs
ExportTemplateColumns,ExportTemplateColumnRepository,IExportTemplateColumnRepository,UnifiedDideDbContext,UnifiedDideDbContext,ExportTemplateColumn,UNIFIED,Adaptado en la pasada anterior. Misma instancia Scoped Unified en la prueba; no comparte el contexto de SaveChanges del UoW actual.,tesisproject.backend/Repositories/Implementations/ExportTemplateColumnRepository.cs
ExportTemplates,ExportTemplateRepository,IExportTemplateRepository,UnifiedDideDbContext,UnifiedDideDbContext,ExportTemplate,UNIFIED,Adaptado en la pasada anterior. Misma instancia Scoped Unified en la prueba; no comparte el contexto de SaveChanges del UoW actual.,tesisproject.backend/Repositories/Implementations/ExportTemplateRepository.cs
ExportFields,ExportFieldRepository,IExportFieldRepository,UnifiedDideDbContext,UnifiedDideDbContext,ExportField,UNIFIED,Adaptado en la pasada anterior. Misma instancia Scoped Unified en la prueba; no comparte el contexto de SaveChanges del UoW actual.,tesisproject.backend/Repositories/Implementations/ExportFieldRepository.cs
VisitObjectiveActivityProgresses,VisitObjectiveActivityProgressRepository,IVisitObjectiveActivityProgressRepository,UnifiedDideDbContext,UnifiedDideDbContext,VisitObjectiveActivityProgress,UNIFIED,Adaptado en la pasada anterior. Misma instancia Scoped Unified en la prueba; no comparte el contexto de SaveChanges del UoW actual.,tesisproject.backend/Repositories/Implementations/VisitObjectiveActivityProgressRepository.cs
FacultyScopes,FacultyScopeRepository,IFacultyScopeRepository,AppDbContext,AppDbContext,FacultyScope,BLOCKED,Conjunto FacultyScope/FacultyScopeFaculty/UserFacultyScopeAssignment: los IDs recibidos requieren revisar su origen externo/local.,tesisproject.backend/Repositories/Implementations/FacultyScopeRepository.cs
FacultyScopeFaculties,FacultyScopeFacultyRepository,IFacultyScopeFacultyRepository,AppDbContext,AppDbContext,FacultyScopeFaculty,SPECIAL,FacultyScopeService.CreateAsync/SetFacultiesAsync guarda FacultyId recibido sin resolver ExternalFacultyId a ID local.,tesisproject.backend/Repositories/Implementations/FacultyScopeFacultyRepository.cs
UserFacultyScopeAssignments,UserFacultyScopeAssignmentRepository,IUserFacultyScopeAssignmentRepository,AppDbContext,AppDbContext,UserFacultyScopeAssignment,BLOCKED,Comparte FacultyScope y los filtros de facultad; mantener el conjunto coherente exige resolver primero la frontera Faculty.,tesisproject.backend/Repositories/Implementations/UserFacultyScopeAssignmentRepository.cs
AppConfigurations,AppConfigurationRepository,IAppConfigurationRepository,UnifiedDideDbContext,UnifiedDideDbContext,AppConfiguration,UNIFIED,Adaptado en la pasada anterior. Misma instancia Scoped Unified en la prueba; no comparte el contexto de SaveChanges del UoW actual.,tesisproject.backend/Services/Implementations/AppConfigurationRepository.cs
AspNetUsers,AspNetUserRepository,IAspNetUserRepository,AppDbContext,AppDbContext,IdentityUser<int>,BLOCKED,"La clase es candidata mecánica local, pero Identity está registrado con AddEntityFrameworkStores<AppDbContext>. Cambiar su contexto aisladamente separaría la persistencia de autenticación y UoW.",tesisproject.backend/Repositories/Implementations/AspNetUserRepository.cs.cs
AppUsers,AppUserRepository,IAppUserRepository,AppDbContext,AppDbContext,AppUser,BLOCKED,La hoja conserva IdUser/IdLocal/IdAsp y es candidata mecánica. Sus operaciones de vinculación usan Identity legacy; la activación completa del UoW está detenida en ProductAuthors.,tesisproject.backend/Repositories/Implementations/AppUserRepository.cs
