classification,priority,theme,reason,required_change,file,line,class,member,kind,symbol,text
MANUAL,P0,Otros: unidad de trabajo,SaveChangesAsync sigue ejecutándose sobre AppDbContext; hay repositorios adaptados a Unified.,"Integrar contexto, transacciones, DI y repositorios de cada operación como una unidad antes de activar. No basta registrar Unified ni guardar dos contextos por separado.",tesisproject.backend/UnitOfWork/Implementations/UnitOfWork.cs,5,(file),(namespace/import),namespace,tesisproject.shared.Entities.Catalogs,using tesisproject.shared.Entities.Catalogs;
MANUAL,P0,Otros: unidad de trabajo,SaveChangesAsync sigue ejecutándose sobre AppDbContext; hay repositorios adaptados a Unified.,"Integrar contexto, transacciones, DI y repositorios de cada operación como una unidad antes de activar. No basta registrar Unified ni guardar dos contextos por separado.",tesisproject.backend/UnitOfWork/Implementations/UnitOfWork.cs,11,UnitOfWork,_ctx,type,tesisproject.backend.Data.AppDbContext,AppDbContext
MANUAL,P0,Otros: unidad de trabajo,SaveChangesAsync sigue ejecutándose sobre AppDbContext; hay repositorios adaptados a Unified.,"Integrar contexto, transacciones, DI y repositorios de cada operación como una unidad antes de activar. No basta registrar Unified ni guardar dos contextos por separado.",tesisproject.backend/UnitOfWork/Implementations/UnitOfWork.cs,22,UnitOfWork,ProductTypes,type,tesisproject.backend.Repositories.Interfaces.ICatalogRepository<tesisproject.shared.Entities.Catalogs.ProductType>,ICatalogRepository<ProductType>
MANUAL,P0,Otros: unidad de trabajo,SaveChangesAsync sigue ejecutándose sobre AppDbContext; hay repositorios adaptados a Unified.,"Integrar contexto, transacciones, DI y repositorios de cada operación como una unidad antes de activar. No basta registrar Unified ni guardar dos contextos por separado.",tesisproject.backend/UnitOfWork/Implementations/UnitOfWork.cs,22,UnitOfWork,ProductTypes,type,tesisproject.shared.Entities.Catalogs.ProductType,ProductType
MANUAL,P0,Otros: unidad de trabajo,SaveChangesAsync sigue ejecutándose sobre AppDbContext; hay repositorios adaptados a Unified.,"Integrar contexto, transacciones, DI y repositorios de cada operación como una unidad antes de activar. No basta registrar Unified ni guardar dos contextos por separado.",tesisproject.backend/UnitOfWork/Implementations/UnitOfWork.cs,26,UnitOfWork,ObjectiveTypes,type,tesisproject.backend.Repositories.Interfaces.ICatalogRepository<tesisproject.shared.Entities.Catalogs.ObjectiveType>,ICatalogRepository<ObjectiveType>
MANUAL,P0,Otros: unidad de trabajo,SaveChangesAsync sigue ejecutándose sobre AppDbContext; hay repositorios adaptados a Unified.,"Integrar contexto, transacciones, DI y repositorios de cada operación como una unidad antes de activar. No basta registrar Unified ni guardar dos contextos por separado.",tesisproject.backend/UnitOfWork/Implementations/UnitOfWork.cs,26,UnitOfWork,ObjectiveTypes,type,tesisproject.shared.Entities.Catalogs.ObjectiveType,ObjectiveType
MANUAL,P0,Otros: unidad de trabajo,SaveChangesAsync sigue ejecutándose sobre AppDbContext; hay repositorios adaptados a Unified.,"Integrar contexto, transacciones, DI y repositorios de cada operación como una unidad antes de activar. No basta registrar Unified ni guardar dos contextos por separado.",tesisproject.backend/UnitOfWork/Implementations/UnitOfWork.cs,31,UnitOfWork,MemberRoleTypeRepository,type,tesisproject.backend.Repositories.Interfaces.ICatalogRepository<tesisproject.shared.Entities.Catalogs.MemberRoleType>,ICatalogRepository<MemberRoleType>
MANUAL,P0,Otros: unidad de trabajo,SaveChangesAsync sigue ejecutándose sobre AppDbContext; hay repositorios adaptados a Unified.,"Integrar contexto, transacciones, DI y repositorios de cada operación como una unidad antes de activar. No basta registrar Unified ni guardar dos contextos por separado.",tesisproject.backend/UnitOfWork/Implementations/UnitOfWork.cs,31,UnitOfWork,MemberRoleTypeRepository,type,tesisproject.shared.Entities.Catalogs.MemberRoleType,MemberRoleType
MANUAL,P0,Otros: unidad de trabajo,SaveChangesAsync sigue ejecutándose sobre AppDbContext; hay repositorios adaptados a Unified.,"Integrar contexto, transacciones, DI y repositorios de cada operación como una unidad antes de activar. No basta registrar Unified ni guardar dos contextos por separado.",tesisproject.backend/UnitOfWork/Implementations/UnitOfWork.cs,32,UnitOfWork,ProjectTypeRepository,type,tesisproject.backend.Repositories.Interfaces.ICatalogRepository<tesisproject.shared.Entities.Catalogs.ProjectType>,ICatalogRepository<ProjectType>
MANUAL,P0,Otros: unidad de trabajo,SaveChangesAsync sigue ejecutándose sobre AppDbContext; hay repositorios adaptados a Unified.,"Integrar contexto, transacciones, DI y repositorios de cada operación como una unidad antes de activar. No basta registrar Unified ni guardar dos contextos por separado.",tesisproject.backend/UnitOfWork/Implementations/UnitOfWork.cs,32,UnitOfWork,ProjectTypeRepository,type,tesisproject.shared.Entities.Catalogs.ProjectType,ProjectType
