Service,Method,LegacySaveLines,LogicalOwner,Classification,ExplicitTransaction,Notes
AppUserService,EnsureSingleInternalAsync,224,caller Projects/Group/FacultyScope o EnsureAppUser(s)Async,ATOMICITY_RISK,No explícita,Legacy preservado; los métodos TODO no se exponen en Unified
BudgetService,AddCertificationAsync,308,AddCertificationAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
BudgetService,CancelTransactionAsync,498,CancelTransactionAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
BudgetService,CreateAsync,165,CreateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
BudgetService,DeleteAsync,247,DeleteAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
BudgetService,ExecuteDevengadoAsync,398,ExecuteDevengadoAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
BudgetService,UpdateAsync,215,UpdateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
BudgetService,UpdateTransactionAsync,641,UpdateTransactionAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
CatalogCrudService,CreateAsync,141,CreateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
CatalogCrudService,DeleteAsync,317,DeleteAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
CatalogCrudService,SaveAndOkAsync,340,UpdateAsync (SaveAndOkAsync solo es helper terminal),SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
CatalogCrudService,UpdateAsync,261,UpdateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
ConvocationService,ActivateExclusiveAsync,267,ActivateExclusiveAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
ConvocationService,AddRuleAsync,325,AddRuleAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
ConvocationService,CreateAsync,"68,71",CreateAsync,ATOMICITY_RISK,No explícita,Legacy preservado; los métodos TODO no se exponen en Unified
ConvocationService,RemoveRuleAsync,412,RemoveRuleAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
ConvocationService,UpdateAsync,220,UpdateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
ConvocationService,UpdateRuleAsync,376,UpdateRuleAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
CountryService,CreateAsync,171,CreateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
CountryService,UpdateAsync,255,UpdateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
DocumentService,DeleteAsync,240,DeleteAsync,EXTERNAL_SIDE_EFFECT,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
DocumentService,ReplaceFileAsync,181,ReplaceFileAsync,EXTERNAL_SIDE_EFFECT,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
DocumentService,UpdateAsync,106,UpdateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
DocumentService,UploadAsync,360,UploadAsync,EXTERNAL_SIDE_EFFECT,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
ExportTemplateService,CreateTemplateAsync,"120,126",CreateTemplateAsync,ATOMICITY_RISK,No explícita,Legacy preservado; los métodos TODO no se exponen en Unified
ExportTemplateService,DeleteTemplateAsync,194,DeleteTemplateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
ExportTemplateService,UpdateTemplateAsync,169,UpdateTemplateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
ExternalResearcherProjectService,CreateAsync,166,CreateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
ExternalResearcherProjectService,UpdateAsync,280,UpdateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
ExternalResearcherService,CreateAsync,139,CreateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
ExternalResearcherService,UpdateAsync,195,UpdateAsync,SAFE,No explícita,Una llamada final al save; consultas de respuesta posteriores pueden fallar sin revertir el commit
FacultyScopeService,AssignScopeToUserAsync,296,AssignScopeToUserAsync,ATOMICITY_RISK,No explícita,Legacy preservado; los métodos TODO no se exponen en Unified
